client,threshold,throughput,energy_cost,time_cost,packet_loss
10,0.2,90.05562257216289,3.51758320894638,468.70390624999925,0.31666666666666665
20,0.2,67.63335769628469,7.825609756002059,506.2002187499992,0.35862068965517246
40,0.2,91.72726561335953,12.327876818154364,393.7112812499994,0.34293478260869564
80,0.2,100.36532875678623,31.815321738259286,487.4520624999992,0.3441964285714286
160,0.2,99.86023778972414,131.08945739148734,941.1574437499984,0.3595486111111111
10,0.15,86.4293559989838,3.9507321893762035,524.9483749999991,0.3216666666666666
20,0.15,75.52123356393288,10.751719632764903,701.1810437499988,0.35125000000000006
40,0.15,87.88369085263517,20.150142629240552,644.9365749999989,0.34966216216216206
80,0.15,95.66994526488898,63.97639599834212,978.6537562499983,0.34787946428571426
160,0.15,100.60586297129778,220.61721021114033,1582.344387500031,0.3582291666666667
10,0.1,87.36787195400126,9.881977633691145,1312.370937500015,0.32733333333333353
20,0.1,79.68460524369921,18.949015797126126,1237.3783125000107,0.3464788732394367
40,0.1,91.05553257375057,46.55858907875532,1488.6036062500255,0.34367647058823525
80,0.1,97.78990988080882,163.89470547703763,2508.5033062500297,0.34567307692307686
160,0.1,100.40093171980027,653.867268962821,4679.539800000036,0.35896381578947356
