epsilon,threshold,throughput,energy_cost,time_cost,packet_loss
0.05,0.1,89.18698744629107,14.81265765251407,416.20906875000895,0.3677631578947368
0.1,0.1,90.41506486701012,24.061005379408197,725.5536468750116,0.3496987951807227
0.2,0.1,91.05553257375057,46.55858907875532,1488.6036062500255,0.34367647058823525
0.4,0.1,87.52836538368318,106.29076883737469,3517.1541125000826,0.3427499999999998
0.8,0.1,87.11006600174133,175.20788508426682,5954.414425000102,0.3336764705882354
1.6,0.1,84.07159097714818,312.2116333195111,10798.938000000138,0.3366883116883116
3.2,0.1,91.1922310670181,686.122590529231,24417.598700000442,0.3168103448275862
0.05,0.05,90.09527827091911,61.929089972392646,1737.9540843751113,0.3671202531645564
0.1,0.05,90.14551460122908,87.76232789037516,2654.7389250000747,0.3507036423841058
0.2,0.05,92.1967370203842,78.45981416613208,2508.5033062500297,0.3417832167832167
0.4,0.05,90.26270328330195,343.75065308161885,11398.87900000044,0.3398919753086421
0.8,0.05,89.64688373868152,683.7078860035696,23247.71375000096,0.33397727272727246
1.6,0.05,89.318085556698,1459.4928545988214,50785.00565000269,0.32936288088642635
3.2,0.05,90.74577095189167,3415.8544799675255,120888.11150000886,0.3201340326340327
0.05,0.01,90.3771178742967,78.45855579623539,2201.9709515626946,0.36647499999999944
0.1,0.01,90.14551460122908,87.76232789037516,2654.7389250000747,0.3507036423841058
0.2,0.01,92.1967370203842,78.45981416613208,2508.5033062500297,0.3417832167832167
0.4,0.01,90.14773928608064,530.9532773609402,17615.767612501557,0.33970000000000006
0.8,0.01,89.8120805341868,1034.3025367863838,35231.535225003114,0.33284999999999965
1.6,0.01,89.9032558607141,2024.2482397097428,70463.07045000623,0.32768749999999996
3.2,0.01,90.38637305997962,3979.4415260309165,140926.14090001245,0.32017499999999993
